benchmark,status,error,expected_qasm_path,resolved_qasm_path,expected_qubits,logical_qubits,gross_modules,original_qasm_cx_count,original_rz_count,transpiled_rz_count,pbc_rotation_count,pbc_measurement_count,in_module_measure,inter_module_code_code,t_injection,inter_module_including_factory,automorphism,joint_measure_halves_raw,include_final_measurements,qiskit_version,basis_gates,optimization_level,bicycle_compiler_git_commit,qasmbench_git_commit,command_used,warnings
adder_n28,ok,,large/adder_n28/adder_n28.qasm,/home/edirent/bicycle-architecture-compiler/external/QASMBench/large/adder_n28/adder_n28.qasm,28,28,3,51,0,0,168,0,2680,336,0,336,1588,672,False,2.3.0,"[""rz"",""t"",""tdg"",""id"",""x"",""y"",""z"",""h"",""s"",""sdg"",""sx"",""sxdg"",""cx"",""cz"",""cy"",""swap"",""iswap"",""ecr"",""dcx""]",0,acd5f4a19eafc3229766c807a7eb8a79fa7bad56,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,/home/edirent/bicycle-architecture-compiler/target/release/bicycle_compiler gross --measurement-table /home/edirent/bicycle-architecture-compiler/data/table_gross < /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/pbc/adder_n28.pbc.jsonl > /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/isa/adder_n28.gross_isa.jsonl,
adder_n64,ok,,large/adder_n64/adder_n64.qasm,/home/edirent/bicycle-architecture-compiler/external/QASMBench/large/adder_n64/adder_n64.qasm,64,64,6,119,0,0,392,0,7379,1960,0,1960,3668,3920,False,2.3.0,"[""rz"",""t"",""tdg"",""id"",""x"",""y"",""z"",""h"",""s"",""sdg"",""sx"",""sxdg"",""cx"",""cz"",""cy"",""swap"",""iswap"",""ecr"",""dcx""]",0,acd5f4a19eafc3229766c807a7eb8a79fa7bad56,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,/home/edirent/bicycle-architecture-compiler/target/release/bicycle_compiler gross --measurement-table /home/edirent/bicycle-architecture-compiler/data/table_gross < /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/pbc/adder_n64.pbc.jsonl > /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/isa/adder_n64.gross_isa.jsonl,
ising_n26,ok,,medium/ising_n26/ising_n26.qasm,/home/edirent/bicycle-architecture-compiler/external/QASMBench/medium/ising_n26/ising_n26.qasm,26,26,3,50,152,152,152,0,1417,304,0,304,716,608,False,2.3.0,"[""rz"",""t"",""tdg"",""id"",""x"",""y"",""z"",""h"",""s"",""sdg"",""sx"",""sxdg"",""cx"",""cz"",""cy"",""swap"",""iswap"",""ecr"",""dcx""]",0,acd5f4a19eafc3229766c807a7eb8a79fa7bad56,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,/home/edirent/bicycle-architecture-compiler/target/release/bicycle_compiler gross --measurement-table /home/edirent/bicycle-architecture-compiler/data/table_gross < /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/pbc/ising_n26.pbc.jsonl > /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/isa/ising_n26.gross_isa.jsonl,
ising_n34,ok,,large/ising_n34/ising_n34.qasm,/home/edirent/bicycle-architecture-compiler/external/QASMBench/large/ising_n34/ising_n34.qasm,34,34,4,66,200,200,200,0,2062,600,0,600,940,1200,False,2.3.0,"[""rz"",""t"",""tdg"",""id"",""x"",""y"",""z"",""h"",""s"",""sdg"",""sx"",""sxdg"",""cx"",""cz"",""cy"",""swap"",""iswap"",""ecr"",""dcx""]",0,acd5f4a19eafc3229766c807a7eb8a79fa7bad56,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,/home/edirent/bicycle-architecture-compiler/target/release/bicycle_compiler gross --measurement-table /home/edirent/bicycle-architecture-compiler/data/table_gross < /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/pbc/ising_n34.pbc.jsonl > /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/isa/ising_n34.gross_isa.jsonl,
multiplier_n45,ok,,large/multiplier_n45/multiplier_n45.qasm,/home/edirent/bicycle-architecture-compiler/external/QASMBench/large/multiplier_n45/multiplier_n45.qasm,45,45,5,306,0,0,2646,0,43845,10584,0,10584,22752,21168,False,2.3.0,"[""rz"",""t"",""tdg"",""id"",""x"",""y"",""z"",""h"",""s"",""sdg"",""sx"",""sxdg"",""cx"",""cz"",""cy"",""swap"",""iswap"",""ecr"",""dcx""]",0,acd5f4a19eafc3229766c807a7eb8a79fa7bad56,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,/home/edirent/bicycle-architecture-compiler/target/release/bicycle_compiler gross --measurement-table /home/edirent/bicycle-architecture-compiler/data/table_gross < /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/pbc/multiplier_n45.pbc.jsonl > /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/isa/multiplier_n45.gross_isa.jsonl,
multiplier_n75,ok,,large/multiplier_n75/multiplier_n75.qasm,/home/edirent/bicycle-architecture-compiler/external/QASMBench/large/multiplier_n75/multiplier_n75.qasm,75,75,7,870,0,0,7560,0,140240,45360,0,45360,64920,90720,False,2.3.0,"[""rz"",""t"",""tdg"",""id"",""x"",""y"",""z"",""h"",""s"",""sdg"",""sx"",""sxdg"",""cx"",""cz"",""cy"",""swap"",""iswap"",""ecr"",""dcx""]",0,acd5f4a19eafc3229766c807a7eb8a79fa7bad56,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,/home/edirent/bicycle-architecture-compiler/target/release/bicycle_compiler gross --measurement-table /home/edirent/bicycle-architecture-compiler/data/table_gross < /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/pbc/multiplier_n75.pbc.jsonl > /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/isa/multiplier_n75.gross_isa.jsonl,
qft_n29,ok,,large/qft_n29/qft_n29.qasm,/home/edirent/bicycle-architecture-compiler/external/QASMBench/large/qft_n29/qft_n29.qasm,29,29,3,812,0,1218,1218,0,15429,2436,0,2436,8932,4872,False,2.3.0,"[""rz"",""t"",""tdg"",""id"",""x"",""y"",""z"",""h"",""s"",""sdg"",""sx"",""sxdg"",""cx"",""cz"",""cy"",""swap"",""iswap"",""ecr"",""dcx""]",0,acd5f4a19eafc3229766c807a7eb8a79fa7bad56,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,/home/edirent/bicycle-architecture-compiler/target/release/bicycle_compiler gross --measurement-table /home/edirent/bicycle-architecture-compiler/data/table_gross < /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/pbc/qft_n29.pbc.jsonl > /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/isa/qft_n29.gross_isa.jsonl,
qft_n63,ok,,large/qft_n63/qft_n63.qasm,/home/edirent/bicycle-architecture-compiler/external/QASMBench/large/qft_n63/qft_n63.qasm,63,63,6,3906,0,5859,5859,0,91795,29295,0,29295,42966,58590,False,2.3.0,"[""rz"",""t"",""tdg"",""id"",""x"",""y"",""z"",""h"",""s"",""sdg"",""sx"",""sxdg"",""cx"",""cz"",""cy"",""swap"",""iswap"",""ecr"",""dcx""]",0,acd5f4a19eafc3229766c807a7eb8a79fa7bad56,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,/home/edirent/bicycle-architecture-compiler/target/release/bicycle_compiler gross --measurement-table /home/edirent/bicycle-architecture-compiler/data/table_gross < /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/pbc/qft_n63.pbc.jsonl > /home/edirent/bicycle-architecture-compiler/results/qasmbench_gross/isa/qft_n63.gross_isa.jsonl,
