1,2,I,Z,IIIIII,ZIZZZI
1,2,X,I,IIIIXI,IIIIII
1,2,X,X,IIIIXI,IIIIXI
1,2,X,Y,IIIIXI,ZIZZYI
1,2,X,Z,IIIIXI,ZIZZZI
1,2,Y,I,ZIZZYI,IIIIII
1,2,Y,X,ZIZZYI,IIIIXI
1,2,Y,Y,ZIZZYI,ZIZZYI
1,2,Y,Z,ZIZZYI,ZIZZZI
1,2,Z,I,ZIZZZI,IIIIII
1,2,Z,X,ZIZZZI,IIIIXI
1,2,Z,Y,ZIZZZI,ZIZZYI
1,2,Z,Z,ZIZZZI,ZIZZZI
1,3,I,X,IIIIII,XIIXIX
1,3,I,Y,IIIIII,YIZXZX
1,3,I,Z,IIIIII,ZIZIZI
1,3,X,I,XIIXIX,IIIIII
1,3,X,X,XIIXIX,XIIXIX
1,3,X,Y,XIIXIX,YIZXZX
1,3,X,Z,XIIXIX,ZIZIZI
1,3,Y,I,YIZXZX,IIIIII
1,3,Y,X,YIZXZX,XIIXIX
1,3,Y,Y,YIZXZX,YIZXZX
1,3,Y,Z,YIZXZX,ZIZIZI
1,3,Z,I,ZIZIZI,IIIIII
1,3,Z,X,ZIZIZI,XIIXIX
1,3,Z,Y,ZIZIZI,YIZXZX
1,3,Z,Z,ZIZIZI,ZIZIZI
1,4,I,X,IIIIII,IXIIIX
1,4,I,Y,IIIIII,ZYZIZX
1,4,I,Z,IIIIII,ZZZIZI
1,4,X,I,IXIIIX,IIIIII
1,4,X,X,IXIIIX,IXIIIX
1,4,X,Y,IXIIIX,ZYZIZX
1,4,X,Z,IXIIIX,ZZZIZI
1,4,Y,I,ZYZIZX,IIIIII
1,4,Y,X,ZYZIZX,IXIIIX
1,4,Y,Y,ZYZIZX,ZYZIZX
1,4,Y,Z,ZYZIZX,ZZZIZI
1,4,Z,I,ZZZIZI,IIIIII
1,4,Z,X,ZZZIZI,IXIIIX
1,4,Z,Y,ZZZIZI,ZYZIZX
1,4,Z,Z,ZZZIZI,ZZZIZI
1,5,I,X,IIIIII,XIXXIX
1,5,I,Y,IIIIII,XIXXZY
1,5,I,Z,IIIIII,IIIIZZ
1,5,X,I,XIXXIX,IIIIII
1,5,X,X,XIXXIX,XIXXIX
1,5,X,Y,XIXXIX,XIXXZY
1,5,X,Z,XIXXIX,IIIIZZ
1,5,Y,I,XIXXZY,IIIIII
1,5,Y,X,XIXXZY,XIXXIX
1,5,Y,Y,XIXXZY,XIXXZY
1,5,Y,Z,XIXXZY,IIIIZZ
1,5,Z,I,IIIIZZ,IIIIII
1,5,Z,X,IIIIZZ,XIXXIX
1,5,Z,Y,IIIIZZ,XIXXZY
1,5,Z,Z,IIIIZZ,IIIIZZ
2,0,I,X,IIIIII,IXXXII
2,0,I,Y,IIIIII,ZXXYZZ
2,0,I,Z,IIIIII,ZIIZZZ
2,0,X,I,IXXXII,IIIIII
2,0,X,X,IXXXII,IXXXII
2,0,X,Y,IXXXII,ZXXYZZ
2,0,X,Z,IXXXII,ZIIZZZ
2,0,Y,I,ZXXYZZ,IIIIII
2,0,Y,X,ZXXYZZ,IXXXII
2,0,Y,Y,ZXXYZZ,ZXXYZZ
2,0,Y,Z,ZXXYZZ,ZIIZZZ
2,0,Z,I,ZIIZZZ,IIIIII
2,0,Z,X,ZIIZZZ,IXXXII
2,0,Z,Y,ZIIZZZ,ZXXYZZ
2,0,Z,Z,ZIIZZZ,ZIIZZZ
2,1,I,X,IIIIII,XXIXXX
2,1,I,Y,IIIIII,YXIYXY
2,1,I,Z,IIIIII,ZIIZIZ
2,1,X,I,XXIXXX,IIIIII
2,1,X,X,XXIXXX,XXIXXX
2,1,X,Y,XXIXXX,YXIYXY
2,1,X,Z,XXIXXX,ZIIZIZ
2,1,Y,I,YXIYXY,IIIIII
2,1,Y,X,YXIYXY,XXIXXX
2,1,Y,Y,YXIYXY,YXIYXY
2,1,Y,Z,YXIYXY,ZIIZIZ
2,1,Z,I,ZIIZIZ,IIIIII
2,1,Z,X,ZIIZIZ,XXIXXX
2,1,Z,Y,ZIIZIZ,YXIYXY
2,1,Z,Z,ZIIZIZ,ZIIZIZ
2,2,I,X,IIIIII,IXXXIX
2,2,I,Y,IIIIII,ZYYYIX
2,2,I,Z,IIIIII,ZZZZII
2,2,X,I,IXXXIX,IIIIII
2,2,X,X,IXXXIX,IXXXIX
2,2,X,Y,IXXXIX,ZYYYIX
2,2,X,Z,IXXXIX,ZZZZII
2,2,Y,I,ZYYYIX,IIIIII
2,2,Y,X,ZYYYIX,IXXXIX
2,2,Y,Y,ZYYYIX,ZYYYIX
2,2,Y,Z,ZYYYIX,ZZZZII
2,2,Z,I,ZZZZII,IIIIII
2,2,Z,X,ZZZZII,IXXXIX
2,2,Z,Y,ZZZZII,ZYYYIX
2,2,Z,Z,ZZZZII,ZZZZII
2,3,I,X,IIIIII,XXIIXX
2,3,I,Y,IIIIII,XXZIYX
2,3,I,Z,IIIIII,IIZIZI
2,3,X,I,XXIIXX,IIIIII
2,3,X,X,XXIIXX,XXIIXX
2,3,X,Y,XXIIXX,XXZIYX
2,3,X,Z,XXIIXX,IIZIZI
2,3,Y,I,XXZIYX,IIIIII
2,3,Y,X,XXZIYX,XXIIXX
2,3,Y,Y,XXZIYX,XXZIYX
2,3,Y,Z,XXZIYX,IIZIZI
2,3,Z,I,IIZIZI,IIIIII
2,3,Z,X,IIZIZI,XXIIXX
2,3,Z,Y,IIZIZI,XXZIYX
2,3,Z,Z,IIZIZI,IIZIZI
2,4,I,X,IIIIII,IIIIIX
2,4,I,Y,IIIIII,IZZIZY
2,4,I,Z,IIIIII,IZZIZZ
2,4,X,I,IIIIIX,IIIIII
2,4,X,X,IIIIIX,IIIIIX
2,4,X,Y,IIIIIX,IZZIZY
2,4,X,Z,IIIIIX,IZZIZZ
2,4,Y,I,IZZIZY,IIIIII
2,4,Y,X,IZZIZY,IIIIIX
2,4,Y,Y,IZZIZY,IZZIZY
2,4,Y,Z,IZZIZY,IZZIZZ
2,4,Z,I,IZZIZZ,IIIIII
2,4,Z,X,IZZIZZ,IIIIIX
2,4,Z,Y,IZZIZZ,IZZIZY
2,4,Z,Z,IZZIZZ,IZZIZZ
2,5,I,X,IIIIII,IIIXII
2,5,I,Y,IIIIII,ZIZYZZ
2,5,I,Z,IIIIII,ZIZZZZ
2,5,X,I,IIIXII,IIIIII
2,5,X,X,IIIXII,IIIXII
2,5,X,Y,IIIXII,ZIZYZZ
2,5,X,Z,IIIXII,ZIZZZZ
2,5,Y,I,ZIZYZZ,IIIIII
2,5,Y,X,ZIZYZZ,IIIXII
2,5,Y,Y,ZIZYZZ,ZIZYZZ
2,5,Y,Z,ZIZYZZ,ZIZZZZ
2,5,Z,I,ZIZZZZ,IIIIII
2,5,Z,X,ZIZZZZ,IIIXII
2,5,Z,Y,ZIZZZZ,ZIZYZZ
2,5,Z,Z,ZIZZZZ,ZIZZZZ
3,0,I,X,IIIIII,IXIXXI
3,0,I,Y,IIIIII,IXZYXZ
3,0,I,Z,IIIIII,IIZZIZ
3,0,X,I,IXIXXI,IIIIII
3,0,X,X,IXIXXI,IXIXXI
3,0,X,Y,IXIXXI,IXZYXZ
3,0,X,Z,IXIXXI,IIZZIZ
3,0,Y,I,IXZYXZ,IIIIII
3,0,Y,X,IXZYXZ,IXIXXI
3,0,Y,Y,IXZYXZ,IXZYXZ
3,0,Y,Z,IXZYXZ,IIZZIZ
3,0,Z,I,IIZZIZ,IIIIII
3,0,Z,X,IIZZIZ,IXIXXI
3,0,Z,Y,IIZZIZ,IXZYXZ
3,0,Z,Z,IIZZIZ,IIZZIZ
3,1,I,X,IIIIII,IXIIII
3,1,I,Y,IIIIII,IYZZZZ
3,1,I,Z,IIIIII,IZZZZZ
3,1,X,I,IXIIII,IIIIII
3,1,X,X,IXIIII,IXIIII
3,1,X,Y,IXIIII,IYZZZZ
3,1,X,Z,IXIIII,IZZZZZ
3,1,Y,I,IYZZZZ,IIIIII
3,1,Y,X,IYZZZZ,IXIIII
3,1,Y,Y,IYZZZZ,IYZZZZ
